大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0003	國立臺灣大學	210501	戲劇學系	D 日	B 學士	187	12	22	30 臺北市	1 一般
0003	國立臺灣大學	220201	(中)國(語)文學系	D 日	M 碩士	90	0	24	30 臺北市	1 一般
0003	國立臺灣大學	220201	(中)國(語)文學系	D 日	B 學士	334	52	63	30 臺北市	1 一般
0003	國立臺灣大學	220301	外國語文學系	D 日	B 學士	550	81	139	30 臺北市	1 一般
0003	國立臺灣大學	220320	日本語文學系	D 日	B 學士	262	12	56	30 臺北市	1 一般
0003	國立臺灣大學	220901	(歷)史學系	D 日	B 學士	258	26	59	30 臺北市	1 一般
0003	國立臺灣大學	221001	人類學系	D 日	B 學士	153	14	22	30 臺北市	1 一般
0003	國立臺灣大學	221101	哲學系	D 日	B 學士	181	20	23	30 臺北市	1 一般
0003	國立臺灣大學	310101	經濟學系	D 日	M 碩士	121	0	37	30 臺北市	1 一般
0003	國立臺灣大學	310101	經濟學系	D 日	B 學士	580	40	151	30 臺北市	1 一般
0003	國立臺灣大學	310101	經濟學系	N 職	M 碩士	75	0	21	30 臺北市	1 一般
0003	國立臺灣大學	310201	政治學系	D 日	M 碩士	147	0	44	30 臺北市	1 一般
0003	國立臺灣大學	310201	政治學系	D 日	B 學士	761	24	187	30 臺北市	1 一般
0003	國立臺灣大學	621002	森林環境暨資源學系	D 日	M 碩士	143	0	32	30 臺北市	1 一般
0003	國立臺灣大學	621002	森林環境暨資源學系	D 日	B 學士	276	23	67	30 臺北市	1 一般
0003	國立臺灣大學	640101	獸醫學系	D 日	B 學士	329	18	55	30 臺北市	1 一般
0003	國立臺灣大學	720101	醫學系	D 日	B 學士	978	155	126	30 臺北市	1 一般
0003	國立臺灣大學	720201	公共衛生學系	D 日	B 學士	149	9	27	30 臺北市	1 一般
0003	國立臺灣大學	720220	流行病學與預防醫學研究所	D 日	M 碩士	86	14	32	30 臺北市	1 一般
0003	國立臺灣大學	720221	健康政策與管理研究所	D 日	M 碩士	81	10	32	30 臺北市	1 一般
0003	國立臺灣大學	720301	藥學系	D 日	M 碩士	65	0	23	30 臺北市	1 一般
0003	國立臺灣大學	720301	藥學系	D 日	B 學士	248	16	53	30 臺北市	1 一般
0003	國立臺灣大學	720401	物理治療系	D 日	B 學士	160	17	30	30 臺北市	1 一般
0003	國立臺灣大學	720402	職能治療學系	D 日	B 學士	138	11	34	30 臺北市	1 一般
0003	國立臺灣大學	720601	護理學系	D 日	B 學士	157	22	21	30 臺北市	1 一般
0003	國立臺灣大學	720708	醫學檢驗(暨)生物技術學系	D 日	M 碩士	58	0	22	30 臺北市	1 一般
0003	國立臺灣大學	720801	牙醫(科學)學系	D 日	B 學士	222	19	36	30 臺北市	1 一般
0003	國立臺灣大學	720802	臨床牙醫學研究所	D 日	M 碩士	73	8	20	30 臺北市	1 一般
0003	國立臺灣大學	760301	(社會政策與)社會工作學系	D 日	B 學士	206	16	49	30 臺北市	1 一般
0004	國立臺灣師範大學	140101	教育學系	D 日	B 學士	264	17	52	30 臺北市	3 師範
0004	國立臺灣師範大學	140107	(教育心理與)輔導學系	D 日	M 碩士	108	0	32	30 臺北市	3 師範
0004	國立臺灣師範大學	140107	(教育心理與)輔導學系	D 日	B 學士	195	26	32	30 臺北市	3 師範
0004	國立臺灣師範大學	140201	公民教育與活動領導學系	D 日	M 碩士	80	0	20	30 臺北市	3 師範
0004	國立臺灣師範大學	140201	公民教育與活動領導學系	D 日	B 學士	349	17	75	30 臺北市	3 師範
0004	國立臺灣師範大學	140203	華語(文)教學學系	D 日	M 碩士	113	0	25	30 臺北市	3 師範
0004	國立臺灣師範大學	140203	華語(文)教學學系	D 日	B 學士	186	14	33	30 臺北市	3 師範
0004	國立臺灣師範大學	140206	(自然)科學教育(與應用)	D 日	M 碩士	56	12	20	30 臺北市	3 師範
0004	國立臺灣師範大學	140215	人類發展與家庭學系	D 日	M 碩士	93	0	26	30 臺北市	3 師範
0004	國立臺灣師範大學	140215	人類發展與家庭學系	D 日	B 學士	412	19	100	30 臺北市	3 師範
0004	國立臺灣師範大學	140222	社會教育學系	D 日	B 學士	225	12	53	30 臺北市	3 師範
0004	國立臺灣師範大學	140301	工業教育(與技術)學系	D 日	M 碩士	82	0	35	30 臺北市	3 師範
0004	國立臺灣師範大學	140301	工業教育(與技術)學系	D 日	B 學士	201	18	51	30 臺北市	3 師範
0004	國立臺灣師範大學	140301	工業教育(與技術)學系	N 職	M 碩士	127	0	25	30 臺北市	3 師範
0004	國立臺灣師範大學	140307	資訊教育學系	D 日	M 碩士	53	5	21	30 臺北市	3 師範
0004	國立臺灣師範大學	140315	體育學系	D 日	M 碩士	140	0	37	30 臺北市	3 師範
0004	國立臺灣師範大學	140315	體育學系	D 日	B 學士	269	34	57	30 臺北市	3 師範
0004	國立臺灣師範大學	140325	健康促進與衛生教育學系	D 日	M 碩士	49	0	20	30 臺北市	3 師範
0004	國立臺灣師範大學	140325	健康促進與衛生教育學系	D 日	B 學士	164	14	46	30 臺北市	3 師範
0004	國立臺灣師範大學	140601	特殊教育學系	D 日	B 學士	191	15	44	30 臺北市	3 師範
0004	國立臺灣師範大學	140601	特殊教育學系	N 職	M 碩士	73	0	26	30 臺北市	3 師範
0004	國立臺灣師範大學	149909	科技應用與人力資源發展學系	D 日	B 學士	233	12	52	30 臺北市	3 師範
0004	國立臺灣師範大學	210101	(應用)美術學系	D 日	M 碩士	136	0	25	30 臺北市	3 師範
0004	國立臺灣師範大學	210101	(應用)美術學系	D 日	B 學士	187	21	44	30 臺北市	3 師範
0004	國立臺灣師範大學	210101	(應用)美術學系	N 職	M 碩士	162	0	31	30 臺北市	3 師範
0004	國立臺灣師範大學	210401	音樂學系	D 日	M 碩士	125	0	32	30 臺北市	3 師範
0004	國立臺灣師範大學	210401	音樂學系	D 日	B 學士	287	35	59	30 臺北市	3 師範
0004	國立臺灣師範大學	210707	(音樂與)表演藝術系	D 日	M 碩士	82	0	22	30 臺北市	3 師範
