大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0003	國立臺灣大學	520239	生物(產業)機電工程學系	D 日	B 學士	167	22	37	30 臺北市	1 一般
0003	國立臺灣大學	520301	土木工程學系	D 日	M 碩士	347	0	163	30 臺北市	1 一般
0003	國立臺灣大學	520301	土木工程學系	D 日	B 學士	456	52	96	30 臺北市	1 一般
0003	國立臺灣大學	520315	生物環境(系統)工程學系	D 日	M 碩士	72	0	30	30 臺北市	1 一般
0003	國立臺灣大學	520315	生物環境(系統)工程學系	D 日	B 學士	207	24	39	30 臺北市	1 一般
0003	國立臺灣大學	520401	化學工程學系	D 日	D 博士	76	0	21	30 臺北市	1 一般
0003	國立臺灣大學	520401	化學工程學系	D 日	M 碩士	202	0	83	30 臺北市	1 一般
0003	國立臺灣大學	520401	化學工程學系	D 日	B 學士	488	34	108	30 臺北市	1 一般
0003	國立臺灣大學	520407	高分子科學與工程學研究所	D 日	M 碩士	57	7	27	30 臺北市	1 一般
0003	國立臺灣大學	520502	材料科學(與)(工程)學系	D 日	M 碩士	142	0	48	30 臺北市	1 一般
0003	國立臺灣大學	520502	材料科學(與)(工程)學系	D 日	B 學士	215	23	50	30 臺北市	1 一般
0003	國立臺灣大學	520601	工業工程(與)(科技)(系統)(工程)(管理)學系	D 日	M 碩士	70	6	33	30 臺北市	1 一般
0003	國立臺灣大學	520901	環境工程學系	D 日	M 碩士	98	13	46	30 臺北市	1 一般
0003	國立臺灣大學	521105	生醫電子與資訊學研究所	D 日	M 碩士	100	8	40	30 臺北市	1 一般
0003	國立臺灣大學	521302	工程科學(及海洋工程)學系	D 日	M 碩士	187	0	65	30 臺北市	1 一般
0003	國立臺灣大學	521302	工程科學(及海洋工程)學系	D 日	B 學士	185	23	42	30 臺北市	1 一般
0003	國立臺灣大學	521307	醫學工程學系	D 日	M 碩士	123	13	52	30 臺北市	1 一般
0003	國立臺灣大學	589901	建築與城鄉研究所	D 日	M 碩士	99	8	25	30 臺北市	1 一般
0003	國立臺灣大學	620102	農藝學系	D 日	M 碩士	66	0	23	30 臺北市	1 一般
0003	國立臺灣大學	620102	農藝學系	D 日	B 學士	162	18	41	30 臺北市	1 一般
0003	國立臺灣大學	620203	動物科學(技術)學系	D 日	M 碩士	59	0	21	30 臺北市	1 一般
0003	國立臺灣大學	620203	動物科學(技術)學系	D 日	B 學士	120	17	34	30 臺北市	1 一般
0003	國立臺灣大學	620303	園藝暨景觀學系	D 日	M 碩士	132	0	45	30 臺北市	1 一般
0003	國立臺灣大學	620303	園藝暨景觀學系	D 日	B 學士	225	20	54	30 臺北市	1 一般
0003	國立臺灣大學	620402	植物病理(與微生物)學系	D 日	M 碩士	57	0	22	30 臺北市	1 一般
0003	國立臺灣大學	620402	植物病理(與微生物)學系	D 日	B 學士	132	11	25	30 臺北市	1 一般
0003	國立臺灣大學	620501	農業經濟學系	D 日	M 碩士	78	0	25	30 臺北市	1 一般
0003	國立臺灣大學	620501	農業經濟學系	D 日	B 學士	176	13	47	30 臺北市	1 一般
0003	國立臺灣大學	620501	農業經濟學系	N 職	M 碩士	62	0	30	30 臺北市	1 一般
0003	國立臺灣大學	620510	生物產業傳播暨發展學系	D 日	B 學士	257	14	53	30 臺北市	1 一般
0003	國立臺灣大學	620602	食品科技學系	D 日	M 碩士	101	12	26	30 臺北市	1 一般
0003	國立臺灣大學	620801	農業化學系	D 日	M 碩士	60	0	23	30 臺北市	1 一般
0003	國立臺灣大學	620801	農業化學系	D 日	B 學士	170	17	47	30 臺北市	1 一般
0004	國立臺灣師範大學	440101	化學系	D 日	M 碩士	173	0	81	30 臺北市	3 師範
0004	國立臺灣師範大學	440101	化學系	D 日	B 學士	319	25	80	30 臺北市	3 師範
0004	國立臺灣師範大學	440201	地球科學系	D 日	B 學士	153	18	32	30 臺北市	3 師範
0004	國立臺灣師範大學	440301	物理學系	D 日	M 碩士	67	0	33	30 臺北市	3 師範
0004	國立臺灣師範大學	440301	物理學系	D 日	B 學士	283	29	70	30 臺北市	3 師範
0004	國立臺灣師範大學	460101	數學系	D 日	B 學士	385	34	74	30 臺北市	3 師範
0004	國立臺灣師範大學	520101	電機(與控制)工程學系	D 日	M 碩士	60	0	30	30 臺北市	3 師範
0004	國立臺灣師範大學	520101	電機(與控制)工程學系	D 日	B 學士	191	14	42	30 臺北市	3 師範
0004	國立臺灣師範大學	520108	光電科技(學)研究所	D 日	M 碩士	56	8	22	30 臺北市	3 師範
0004	國立臺灣師範大學	520114	資訊工程學系	D 日	M 碩士	127	0	54	30 臺北市	3 師範
0004	國立臺灣師範大學	520114	資訊工程學系	D 日	B 學士	193	16	40	30 臺北市	3 師範
0004	國立臺灣師範大學	520226	(機械與)機電工程學系	D 日	M 碩士	59	0	21	30 臺北市	3 師範
0004	國立臺灣師範大學	520226	(機械與)機電工程學系	D 日	B 學士	237	14	51	30 臺北市	3 師範
0004	國立臺灣師範大學	810302	運動競技學系	D 日	M 碩士	68	0	20	30 臺北市	3 師範
0004	國立臺灣師範大學	810302	運動競技學系	D 日	B 學士	267	18	53	30 臺北市	3 師範
0004	國立臺灣師範大學	810531	運動休閒與餐旅管理研究所	D 日	M 碩士	89	11	47	30 臺北市	3 師範
0005	國立成功大學	140101	教育學系	D 日	M 碩士	56	8	21	21 臺南市	1 一般
0005	國立成功大學	220101	臺灣文學系	D 日	B 學士	210	15	43	21 臺南市	1 一般
0005	國立成功大學	220201	(中)國(語)文學系	D 日	M 碩士	81	0	22	21 臺南市	1 一般
0005	國立成功大學	220201	(中)國(語)文學系	D 日	B 學士	247	30	63	21 臺南市	1 一般
0005	國立成功大學	220301	外國語文學系	D 日	M 碩士	58	0	21	21 臺南市	1 一般
0005	國立成功大學	220301	外國語文學系	D 日	B 學士	275	33	66	21 臺南市	1 一般
0005	國立成功大學	220901	(歷)史學系	D 日	B 學士	245	24	48	21 臺南市	1 一般
0005	國立成功大學	230303	工業(產品)設計學系	D 日	M 碩士	89	0	32	21 臺南市	1 一般
0005	國立成功大學	230303	工業(產品)設計學系	D 日	B 學士	214	13	55	21 臺南市	1 一般
0005	國立成功大學	310101	經濟學系	D 日	B 學士	279	13	71	21 臺南市	1 一般
0005	國立成功大學	310201	政治學系	D 日	B 學士	246	9	48	21 臺南市	1 一般
0005	國立成功大學	310501	(應用)心理學系	D 日	B 學士	263	12	44	21 臺南市	1 一般
0005	國立成功大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	M 碩士	80	0	36	21 臺南市	1 一般
0005	國立成功大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	B 學士	273	11	65	21 臺南市	1 一般
0005	國立成功大學	340301	企業管理學系	D 日	M 碩士	97	0	53	21 臺南市	1 一般
0005	國立成功大學	340301	企業管理學系	D 日	B 學士	260	13	61	21 臺南市	1 一般
0005	國立成功大學	340301	企業管理學系	N 職	M 碩士	83	0	26	21 臺南市	1 一般
0005	國立成功大學	340303	經營(與)管理(技術)學系	D 日	M 碩士	42	0	24	21 臺南市	1 一般
